-180.2853 283.5677 0
-176.9670 282.7033 0
-231.9321 420.4727 0
-374.6911 333.1697 0
-218.8835 238.3331 0
-409.1572 343.0049 0
-159.0430 294.3923 0
-339.2779 441.8588 0
-428.9009 250.8028 0
-167.8289 353.9596 0
-396.6008 338.9544 0
-409.9904 262.0289 0
-294.2070 440.1472 0
-324.8519 387.0313 0
-360.3307 360.4021 0
-326.9193 270.8148 0
-217.2487 273.8153 0
-236.5751 198.1291 0
-358.7390 210.2754 0
-356.4458 352.0491 0
-223.3992 225.4923 0
-233.8777 306.1660 0
-179.4601 361.2561 0
-414.0641 297.8200 0
-191.5541 198.1051 0
-255.4034 420.4863 0
-384.1424 198.9234 0
-381.8216 374.8393 0
-327.5047 371.4972 0
-340.9038 327.0717 0
-198.3455 225.5716 0
-189.5630 245.5984 0
-223.3828 399.0551 0
-231.6338 242.4034 0
-319.7500 415.4212 0
-221.6967 239.4497 0
-316.2057 316.0394 0
-380.5128 204.5054 0
-418.9333 244.7596 0
-391.1781 263.8164 0
-425.4399 222.5152 0
-336.5548 192.7275 0
-262.4028 199.5103 0
-422.8480 371.2451 0
-387.8707 400.3282 0
-419.3825 236.0612 0
-178.0229 215.0076 0
-245.7455 272.6609 0
-375.0833 252.5756 0
-405.0022 222.6599 0
-285.7705 260.4324 0
-204.0463 249.5846 0
-253.2631 413.2818 0
-204.9436 363.7267 0
-384.6358 257.2966 0
-212.3066 215.8339 0
-197.4318 371.7468 0
-220.8878 313.9894 0
-234.4752 277.5093 0
-409.7339 277.6853 0
-155.6371 262.9011 0
-278.7876 258.1240 0
-404.1434 289.7532 0
-385.9582 291.6165 0
-436.5282 248.2227 0
-355.4308 170.7791 0
-312.5768 163.7787 0
-438.2573 258.5424 0
-363.9527 257.4688 0
-345.5776 210.5580 0
-402.3665 363.6239 0
-294.9686 332.1227 0
-212.5870 316.5517 0
-191.2822 332.1111 0
-356.6853 177.8433 0
-344.1538 162.7426 0
-235.6954 182.0341 0
-363.9221 365.4857 0
-248.5200 191.3264 0
-382.3685 383.7769 0
-366.5343 338.0468 0
-223.2646 215.8932 0
-413.0438 320.9052 0
